participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._round_number;participant._current_page_name;participant.ip_address;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.subsession_id;player.group_id;player.payoff;group.id_in_subsession;group.n_linked_words;group.link_word;group.linked_words;group.confidence;group.guessing;group.how_success;group.is_success;group.subsession_id;subsession.round_number;session.code;session.label;session.experimenter_name;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;533;1086;0;1;;;;;;;;533;53;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;533;1086;0;1;;;;;;;;533;53;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;534;1087;0;1;;;;;;;;534;54;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;534;1087;0;1;;;;;;;;534;54;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;535;1088;0;1;;;;;;;;535;55;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;535;1088;0;1;;;;;;;;535;55;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;536;1089;0;1;;;;;;;;536;56;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;536;1089;0;1;;;;;;;;536;56;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;1;537;1090;0;1;;;;;;;;537;57;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;2;537;1090;0;1;;;;;;;;537;57;c5ax67xj;;;;;;0
1;5k34w083;;0;90;565;codenames;13;Instructions;NA;2018-05-17 09:07:53.926585+00:00;1;;;0;2;538;1091;0;1;;;;;;;;538;58;c5ax67xj;;;;;;0
2;cikvd8i6;;0;92;565;codenames;13;WaitForHQ;NA;2018-05-17 09:07:52.845319+00:00;1;;;0;1;538;1091;0;1;;;;;;;;538;58;c5ax67xj;;;;;;0
